GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
2024-04-13T16:54:14.426042+00:00,G21,15767558.46115787,1951224.7872308232,21845797.862053484,21697512.143001363,48.3
2024-04-13T16:54:14.426042+00:00,G27,23088891.983605545,13304833.340450535,-3086739.165488559,22228315.760554545,44.2
2024-04-13T16:54:14.426042+00:00,G32,7761633.857180767,17830293.748261448,18390488.363503415,21304613.36325358,43.2
2024-04-13T16:54:14.426042+00:00,G10,-1669245.2412055181,17358348.87756475,20141056.966447588,22846127.11547029,30.2
2024-04-13T16:54:15.426042+00:00,G02,14643744.063161507,-4818071.263615241,22094972.804892883,22738056.57566709,46.9
2024-04-13T16:54:15.426042+00:00,G03,23132639.76249011,-12044766.31495491,4515697.626714195,24077677.902181897,49.2
2024-04-13T16:54:15.426042+00:00,G08,25043863.849033836,4799389.799973644,8067966.361552469,21203459.764264666,43.7
2024-04-13T16:54:15.426042+00:00,G21,15767999.619334351,1953843.1859772243,21845333.174247313,21697200.342033632,48.3
2024-04-13T16:54:15.426042+00:00,G27,23088472.84560122,13304895.358556151,-3089858.959369111,22228889.24382869,43.4
2024-04-13T16:54:15.426042+00:00,G32,7759507.672492771,17829445.455249995,18392208.10568285,21304901.15210821,43.7
2024-04-13T16:54:15.426042+00:00,G10,-1671380.1357720112,17359682.81341338,20139685.4305854,22846521.03539041,31.1
2024-04-13T16:54:16.426042+00:00,G02,14644200.982348522,-4815419.740862699,22095281.41200806,22737580.500769418,45.2
2024-04-13T16:54:16.426042+00:00,G03,23132270.094419267,-12044254.63447146,4518863.149127351,24077203.92574108,47.2
2024-04-13T16:54:16.426042+00:00,G08,25044702.84773023,4800035.002732796,8065059.003529671,21203664.846176356,42.0
2024-04-13T16:54:16.426042+00:00,G10,-1673514.7927087685,17361016.77657029,20138313.480935536,22849266.51175271,40.3
2024-04-13T16:54:16.426042+00:00,G21,15768440.924419818,1956461.4913030537,21844868.04465799,21696883.166398842,48.2
2024-04-13T16:54:16.426042+00:00,G27,23088053.36264976,13304957.233831175,-3092978.689461055,22229460.03976931,42.8
2024-04-13T16:54:16.426042+00:00,G28,5163905.746021829,25836552.934658278,-3384265.916764105,23745437.398310166,35.1
2024-04-13T16:54:16.426042+00:00,G32,7757381.244074179,17828597.19654898,18393927.46548011,21305190.44168157,43.5
2024-04-13T16:54:17.426042+00:00,G02,14644658.067684263,-4812768.212221222,22095589.568763413,22737102.92515302,46.4
2024-04-13T16:54:17.426042+00:00,G03,23131900.12671613,-12043742.705172632,4522028.574435574,24076724.88873712,47.6
2024-04-13T16:54:17.426042+00:00,G08,25045541.551844552,4800680.008646462,8062151.47751005,21203877.39678124,41.6
2024-04-13T16:54:17.426042+00:00,G10,-1675649.2454029229,17362350.78786927,20136941.09604204,22849669.156781703,37.8
2024-04-13T16:54:17.426042+00:00,G21,15768882.376380313,1959079.7030513864,21844402.473315537,21696571.679535035,48.2
2024-04-13T16:54:17.426042+00:00,G27,23087633.534754623,13305018.966323582,-3096098.3555785045,22230039.84002228,43.5
2024-04-13T16:54:17.426042+00:00,G28,5163677.427003393,25837007.831932914,-3381127.364674534,23744972.101171378,40.7
2024-04-13T16:54:17.426042+00:00,G32,7755254.571933132,17827748.97219527,18395646.44288352,21305477.043921396,42.1
2024-04-13T16:54:18.426042+00:00,G02,14645115.31915126,-4810116.677826986,22095897.275145706,22736631.980619367,44.2
2024-04-13T16:54:18.426042+00:00,G03,23131529.859436143,-12043230.527041724,4525193.9024512395,24076252.09891111,49.7
2024-04-13T16:54:18.426042+00:00,G08,25046379.961366612,4801324.817770807,8059243.783450426,21204086.666745193,39.2
2024-04-13T16:54:18.426042+00:00,G10,-1677783.4772178894,17363684.836884573,20135568.286597088,22850059.761160456,38.6
